MONTH,DAY,TEMP,HIGH,TIME,LOW,TIME,HDD,CDD,RAIN,W_SPEED,WINDHIGH,TIME,DIR
JAN,1,4.4,7.2,15:10,2.6,7:20,13.9,0,0,4,29,12:10,N
JAN,2,7.2,11.3,14:40,3.1,0:40,11.2,0,0,2.7,24.1,20:40,W
JAN,3,9.6,13.3,14:50,6.6,8:20,8.8,0,0,4.5,30.6,14:20,SW
JAN,4,10.7,14.3,15:20,7.6,3:30,7.7,0,0,3.2,24.1,14:40,SSW
JAN,5,12.2,15.4,13:50,8.7,7:50,6.2,0,0,7.7,56.3,0:00,S
JAN,6,8.6,13.4,0:20,2.7,0:00,9.7,0,4,9,45.1,0:00,SSW
JAN,7,0.6,2.7,0:10,-1.3,0:00,17.8,0,0,14.3,48.3,18:20,NW
JAN,8,-1.1,1.2,13:00,-2.5,6:10,19.4,0,0,10,40.2,4:40,N
JAN,9,-1.1,1.6,13:20,-2.9,6:00,19.4,0,0,9.7,37,16:20,N
JAN,10,1.2,3.9,21:00,-1.6,1:10,17.1,0,0.8,6.9,35.4,13:50,WNW
JAN,11,7.1,11.2,23:40,1.3,2:00,11.2,0,26.8,8.9,57.9,11:50,S
JAN,12,8.4,11.3,14:30,5.4,8:20,9.9,0,0,6.3,33.8,0:20,W
JAN,13,8.6,12.3,14:40,5.1,2:40,9.8,0,0,3.7,30.6,14:20,SSW
JAN,14,10.8,15.8,14:00,7.8,4:00,7.5,0,9.6,4.8,40.2,9:40,SSW
JAN,15,8.7,12.7,14:00,6.4,23:30,9.7,0,3.6,4.3,25.7,20:30,WSW
JAN,16,8.2,12.3,13:50,5.9,9:00,10.1,0,9.8,4.3,22.5,21:40,E
JAN,17,9.4,12.5,14:20,7.9,3:30,8.9,0,4.4,5.3,35.4,12:30,S
JAN,18,9.4, ,12:50,7.7,6:00,8.9,0,19.2,3.7,25.7,12:00,SE
JAN,19,9.2,12.9,12:30,6.9,21:50,9.1,0,1.2,5.5,35.4,17:50,WNW
JAN,20,6.6,7.8,14:20,5.7,8:10,11.8,0,0,8,33.8,8:30,N
JAN,21,6.4,9.2,14:50,4.6,21:10,11.9,0,0,7.6,32.2,11:30,N
JAN,22,6.4,9.1,13:00,4.7,8:30,11.9,0,0,8.9,35.4,13:20,NW
JAN,23,6.5,8.2,13:10,4.2,3:20,11.8,0,0,4.3,25.7,5:00,N
JAN,24,7.2,8.8,12:40,5.9,3:10,11.1,0,11.6,5.5,35.4,21:20,ESE
JAN,25,5.8,6.8,13:30,4.9,3:20,12.5,0,3,7.7,32.2,8:30,N
JAN,26,4.6,5.9,13:00,2.6,23:20,13.8,0,0.2,8,32.2,14:50,NE
JAN,27,2.9,4.9,15:00,1.6,0:00,15.4,0,0,6.6,33.8,2:10,N
JAN,28,4.9,9.7,14:50,1.1,2:10,13.4,0,0,3.9,20.9,12:00,SE
JAN,29,5.4,8.8,12:20,2.8,4:20,12.9,0,0,4,29,12:20,SE
JAN,30,5.6,6.7,13:00,4.2,4:30,12.8,0,0,7.2,29,19:20,N
JAN,31,5.1,6.1,15:30,3.6,23:10,13.2,0,0,7.7,29,6:10,N
FEB,1,6.5,11,14:50,3,8:00,11.8,0,0,2.4,14.5,13:10,SE
FEB,2,9.7,14.8,14:10,6.6,3:00,8.6,0,0.2,1.8,17.7,15:20,S
FEB,3,11.4,15.7,15:20,8.1,5:20,6.9,0,0.2,2.4,19.3,14:10,SSW
FEB,4,12.3,16.2,15:20,9.2,3:00,6,0,0,5.3,30.6,14:00,SW
FEB,5,13.3,16,15:20,11,2:10,5.1,0,0,3.4,22.5,6:40,SW
FEB,6,13.6,16.3,12:00,10.9,7:30,4.7,0,0,8.4,49.9,22:20,S
FEB,7,11.1,14.7,0:10,9.3,12:00,7.2,0,21.2,9,54.7,1:30,S
FEB,8,10.2,13,15:40,8.4,5:00,8.2,0,4.4,4.2,22.5,17:00,NW
FEB,9,9.3,11.7,14:50,6.8,22:50,9.1,0,0,5.6,33.8,14:20,N
FEB,10,7.8,9.4,14:50,7.1,6:00,10.6,0,0,8.7,48.3,22:00,N
FEB,11,6.3,7.5,14:10,5.6,0:00,12,0,0.2,12.1,53.1,13:50,N
FEB,12,5,5.8,12:40,4.4,16:30,13.3,0,0,14,48.3,11:10,N
FEB,13,4.3,5.3,14:20,3.4,22:40,14.1,0,0,12.6,45.1,13:00,N
FEB,14,4.3,6.9,14:40,2.7,0:00,14,0,0,12.4,48.3,13:40,N
FEB,15,7.7,13.7,15:20,2.5,4:00,10.7,0,0,5.1,25.7,16:30,WNW
FEB,16,7.3,9.8,15:10,5.2,22:40,11,0,0,9.3,46.7,11:40,N
FEB,17,8.4,14.1,15:00,4.8,0:50,9.9,0,0,4,25.7,2:40,S
FEB,18,10.8,15.4,16:00,6.8,0:50,7.6,0,0,3.4,24.1,3:10,WSW
FEB,19,12.4,15.9,14:10,9.6,3:40,5.9,0,0,6.6,45.1,14:20,S
FEB,20,12.6,17,15:00,8.9,8:00,5.8,0,0,3.4,22.5,12:30,S
FEB,21,10.8,13.8,14:10,8.9,4:30,7.6,0,0,5.1,20.9,15:10,SE
FEB,22,11.8,16.7,15:10,7.9,6:40,6.6,0,0,2.9,19.3,9:00,WSW
FEB,23,13.3,17.6,14:40,9.2,0:40,5.1,0,0,6.9,35.4,5:00,SW
FEB,24,13.6,17.8,14:50,11,5:50,4.8,0,0,7.1,35.4,5:00,SW
FEB,25,13.6,17.5,14:00, ,7:30,4.7,0,0.2,4.2,32.2,14:50,S
FEB,26,13.1,15.8,12:50,11.6,0:00,5.2,0,4.6,5.3,22.5,7:50,SE
FEB,27,11.8,15.1,16:00,9.6,0:00,6.5,0,0,4.7,19.3,17:30,SE
FEB,28,12.6,18.1,14:10,9.1,6:10,5.8,0,0.4,2.4,19.3,15:10,SE
MAR,1,14,18.3,14:40,10.3,1:20,4.3,0,0.4,5.5,35.4,23:10,W
MAR,2,12.2,15.4,14:30,9.3,8:00,6.1,0,0.2,8.4,45.1,13:40,WNW
MAR,3,12.4, ,14:10,8.6,5:20,5.9,0,0,4,20.9,13:20,SE
MAR,4,13.1,18.2,13:10,9.3,3:40,5.3,0,0,5.5,25.7,15:50,SE
MAR,5,13.4,19,15:40,9.7,2:50,4.9,0,0,1.9,20.9,13:50,SSW
MAR,6,13.7,17.9,15:50,10,5:40,4.7,0,0.2,3.9,33.8,7:30,SW
MAR,7,13,15.7,13:20,10.5,23:30,5.3,0,1.2,5.8,30.6,17:10,SSW
MAR,8,10.6,13.6,11:30,8.2,4:50,7.8,0,12.8,5.3,41.8,2:50,ENE
MAR,9,10.4,13.3,13:20,8.9,23:00,7.9,0,30.6,5.1,43.5,10:00,NE
MAR,10,10.3,12.6,13:00,8.9,0:10,8,0,2,7.2,30.6,17:10,NNW
MAR,11,9.1,9.8,22:40,8,7:20,9.3,0,63.4,10,51.5,23:30,N
MAR,12,9.8,12.1,15:20,8.8,7:10,8.5,0,0,10.3,48.3,0:20,N
MAR,13,11.2,15.8,15:00,8,6:40,7.2,0,0,5.3,38.6,16:40,WNW
